StoreCode,StoreCategoryCode,ProductId,ProductCategoryCode,SalesQuantity,SalesDate
673,1,6437,401,2,2021-11-25
950,1,4461,203,5,2021-01-09
680,1,7983,518,10,2018-11-30
411,1,8654,518,2,2022-01-12
673,1,7983,518,45,2016-11-12
353,2,4859,518,1,2018-10-20
951,1,8761,518,1,2021-06-19
680,1,7983,518,6,2020-07-08
413,1,4461,203,3,2017-10-18
673,1,8654,518,1,2021-01-27
950,1,4461,203,4,2016-08-19
413,1,4161,203,2,2019-03-22
950,1,7983,518,15,2019-12-28
413,1,4461,203,2,2020-05-16
680,1,1144,723,2,2021-04-07
673,1,7983,518,6,2019-08-29
680,1,4859,518,1,2019-06-08
951,1,4161,203,10,2019-09-07
950,1,9066,270,5,2017-02-03
413,1,1144,723,2,2018-09-10
411,1,8761,518,2,2022-02-07
951,1,7983,518,6,2021-07-09
353,2,4859,518,2,2020-01-19
413,1,4859,518,4,2016-12-27
673,1,9066,270,6,2019-03-26
410,1,44,325,1,2021-06-08
410,1,8654,518,1,2020-03-23
680,1,6437,401,5,2019-01-18
951,1,1144,723,3,2020-07-09
950,1,1144,723,1,2016-05-26
131,1,8761,518,1,2018-05-09
950,1,1144,723,6,2017-08-03
411,1,7983,518,2,2021-03-04
950,1,8654,518,2,2019-05-02
680,1,8654,518,5,2016-04-16
353,2,7983,518,1,2022-01-13
413,1,6437,401,1,2021-08-09
131,1,1144,723,2,2017-07-12
411,1,7983,518,6,2017-11-16
411,1,9066,270,5,2017-02-25
411,1,4161,203,4,2019-07-31
825,1,9066,270,2,2019-09-04
410,1,8761,518,6,2020-03-13
131,1,4161,203,4,2020-11-27
353,2,4461,203,1,2017-05-04
680,1,4859,518,3,2021-06-26
413,1,1144,723,2,2021-01-08
413,1,9066,270,1,2020-09-22
131,1,4859,518,1,2020-03-24
131,1,9066,270,2,2021-12-22
411,1,1144,723,3,2018-09-27
411,1,4461,203,3,2021-03-31
353,2,7983,518,8,2016-04-04
413,1,4461,203,3,2020-09-21
413,1,8761,518,1,2021-01-29
413,1,1144,723,2,2018-12-31
131,1,9066,270,6,2017-08-23
411,1,44,325,3,2019-05-20
825,1,8654,518,1,2021-06-10
825,1,4461,203,2,2021-02-10
410,1,8761,518,5,2019-01-12
131,1,44,325,1,2021-06-09
353,2,4461,203,1,2016-06-26
413,1,8654,518,2,2020-11-13
411,1,4859,518,2,2016-12-02
673,1,4461,203,1,2019-11-21
131,1,4161,203,7,2021-09-13
411,1,1144,723,2,2021-08-26
673,1,4859,518,2,2020-12-16
410,1,4161,203,2,2018-06-12
950,1,8761,518,2,2016-09-02
411,1,4161,203,2,2020-02-12
353,2,1144,723,2,2021-10-14
680,1,9066,270,1,2019-11-14
951,1,4461,203,4,2018-03-09
950,1,1144,723,9,2020-04-25
680,1,9066,270,6,2016-10-29
950,1,1144,723,2,2018-08-28
680,1,9066,270,2,2019-08-05
